UniProt,PocketCount,MaxScore,MeanScore,MaxDruggability,MeanDruggability,MaxSASA,MeanSASA,Compound
Q9BRH5,37,0.878,0.0463513513513513,0.878,0.0463513513513513,344.91,117.01191891891892,15
P02794,17,0.322,0.0579411764705882,0.322,0.0579411764705882,135.143,90.7595294117647,2
Q8TEA8,11,0.21,0.0268181818181818,0.21,0.0268181818181818,213.828,119.23872727272727,1
Q969Z3,27,0.846,0.0346296296296296,0.846,0.0346296296296296,161.188,94.07485185185185,21
Q8TDV5,27,0.929,0.0494444444444444,0.929,0.0494444444444444,200.611,103.75881481481484,2352
P61764,52,0.793,0.0599423076923076,0.793,0.0599423076923076,479.427,126.11136538461535,1
P68363,36,0.824,0.0485833333333333,0.824,0.0485833333333333,233.978,102.43391666666668,4
Q9UF02,22,0.842,0.0443636363636363,0.842,0.0443636363636363,442.973,109.48463636363634,
P80404,35,0.724,0.0337714285714285,0.724,0.0337714285714285,349.672,109.9765142857143,110
P08237,53,0.53,0.0258490566037735,0.53,0.0258490566037735,614.531,118.83450943396228,2
P45452,37,0.182,0.0122432432432432,0.182,0.0122432432432432,662.651,110.49716216216216,3806
P41180,87,0.854,0.0353103448275861,0.854,0.0353103448275861,262.159,109.35158620689651,675
P18825,39,0.918,0.0361538461538461,0.918,0.0361538461538461,303.675,112.24953846153846,2982
P07205,32,0.557,0.0274375,0.557,0.0274375,216.854,94.71396875,
Q9UGJ1,58,0.856,0.0232758620689654,0.856,0.0232758620689654,332.621,105.35258620689652,1
Q8TBC4,34,0.843,0.0260882352941176,0.843,0.0260882352941176,797.689,123.48582352941172,127
P19875,6,0.064,0.0161666666666666,0.064,0.0161666666666666,159.607,103.2305,3
Q8IYT8,68,0.692,0.0390735294117646,0.692,0.0390735294117646,766.657,141.1693382352941,522
Q9NSA2,54,0.657,0.024074074074074,0.657,0.024074074074074,227.813,103.27259259259256,
P23588,50,0.125,0.00746,0.125,0.00746,186.192,95.24831999999998,3
Q9UPY3,172,0.883,0.0117093023255813,0.883,0.0117093023255813,720.553,127.06741860465117,10
P62829,8,0.194,0.065375,0.194,0.065375,162.062,104.03475,2
Q9GZX6,21,0.449,0.0497142857142857,0.449,0.0497142857142857,269.843,83.38138095238095,
Q16828,22,0.503,0.0351363636363636,0.503,0.0351363636363636,393.951,138.27718181818182,52
P78368,25,0.854,0.0492,0.854,0.0492,756.486,130.11208,1796
Q9Y694,41,0.982,0.0312195121951219,0.982,0.0312195121951219,809.123,126.8639024390244,31
A8K2H7,34,0.853,0.1048823529411764,0.853,0.1048823529411764,586.585,136.13967647058823,4
Q8NFJ6,29,0.982,0.0546551724137931,0.982,0.0546551724137931,588.206,134.24606896551725,10
P60763,12,0.934,0.0800833333333333,0.934,0.0800833333333333,207.984,109.31141666666667,3
O15460,44,0.841,0.0606363636363636,0.841,0.0606363636363636,421.021,112.09627272727276,12
Q16594,15,0.34,0.0693333333333333,0.34,0.0693333333333333,329.635,148.01753333333332,1
P52655,21,0.764,0.0441904761904761,0.764,0.0441904761904761,566.363,134.3308095238095,22
Q86W56,65,0.46,0.0155846153846153,0.46,0.0155846153846153,755.93,132.4277076923077,928
Q99417,5,0.309,0.1558,0.309,0.1558,124.11,100.3144,1
Q8IZL9,28,0.646,0.0250357142857142,0.646,0.0250357142857142,683.875,131.882,9
Q12860,75,0.526,0.0114266666666666,0.526,0.0114266666666666,188.061,89.84694666666664,1
Q969X5,19,0.99,0.115578947368421,0.99,0.115578947368421,187.166,94.77147368421056,1
Q9UNA0,77,0.718,0.0173896103896103,0.718,0.0173896103896103,391.144,122.30024675324678,1299
P14598,37,0.6,0.0206756756756756,0.6,0.0206756756756756,540.559,112.82254054054054,149
Q8WUM4,61,0.049,0.0027049180327868,0.049,0.0027049180327868,934.506,136.9794262295082,3
P46776,10,0.458,0.0839,0.458,0.0839,163.21,84.9003,2
O95168,10,0.71,0.1369999999999999,0.71,0.1369999999999999,256.366,101.7465,
Q9BSD7,13,0.534,0.0892307692307692,0.534,0.0892307692307692,270.219,125.55923076923074,3
P35913,66,0.952,0.0507727272727272,0.952,0.0507727272727272,339.75,109.2519090909091,
Q96P11,30,0.599,0.0255666666666666,0.599,0.0255666666666666,200.911,94.95233333333331,3
Q96KQ7,85,0.765,0.012835294117647,0.765,0.012835294117647,608.713,123.37414117647064,91424
P16885,122,0.87,0.023639344262295,0.87,0.023639344262295,1092.701,130.9323524590164,45
Q96P68,25,0.537,0.0667599999999999,0.537,0.0667599999999999,184.946,98.56552,10
Q8TDS5,22,0.978,0.084090909090909,0.978,0.084090909090909,255.065,114.55318181818184,83
Q9BWH6,126,0.752,0.0188809523809523,0.752,0.0188809523809523,496.61,113.31799206349208,1
P13385,9,0.476,0.1077777777777777,0.476,0.1077777777777777,100.013,84.13777777777779,
Q9NTI5,100,0.853,0.0145199999999999,0.853,0.0145199999999999,475.846,114.30295999999996,1
O43813,24,0.381,0.0226666666666666,0.381,0.0226666666666666,188.723,88.32720833333333,1
P35030,14,0.419,0.03,0.419,0.03,162.142,88.29828571428571,36
Q8WXX5,25,0.429,0.02996,0.429,0.02996,170.691,86.35484000000002,2
P53602,30,0.457,0.0201333333333333,0.457,0.0201333333333333,204.752,94.65236666666668,6
Q13619,70,0.324,0.0091714285714285,0.324,0.0091714285714285,666.686,108.28459999999995,46
P38936,10,0.547,0.0715,0.547,0.0715,166.834,108.054,37
Q99571,34,0.581,0.0259411764705882,0.581,0.0259411764705882,275.137,100.60844117647058,431
P39059,57,0.851,0.0232631578947368,0.851,0.0232631578947368,307.52,106.36007017543858,
P51659,44,0.714,0.0567045454545454,0.714,0.0567045454545454,500.201,123.11586363636366,121
P62508,37,0.662,0.0195135135135135,0.662,0.0195135135135135,470.759,110.69364864864863,392
Q15878,212,0.951,0.0260754716981131,0.951,0.0260754716981131,674.751,131.29195283018868,1
Q02928,34,0.998,0.0336176470588234,0.998,0.0336176470588234,479.206,109.50276470588236,488
P08686,47,0.979,0.0477234042553191,0.979,0.0477234042553191,305.587,113.35246808510634,541
P52566,14,0.307,0.0445,0.307,0.0445,357.425,141.30785714285713,2
P21709,80,0.962,0.0165374999999999,0.962,0.0165374999999999,381.129,114.1420375,815
P98187,41,0.998,0.030560975609756,0.998,0.030560975609756,545.749,101.95953658536584,4
O95870,38,0.989,0.0325526315789473,0.989,0.0325526315789473,364.163,127.42739473684212,33
Q8NE63,49,0.398,0.0210816326530612,0.398,0.0210816326530612,594.242,130.90204081632652,1349
Q06830,16,0.391,0.065875,0.391,0.065875,211.894,92.4308125,49
O14966,14,0.667,0.0514285714285714,0.667,0.0514285714285714,297.087,103.00671428571428,4
Q96L73,194,0.312,0.0048556701030927,0.312,0.0048556701030927,923.252,129.77031958762885,102
Q9BW71,36,0.457,0.0188333333333333,0.457,0.0188333333333333,265.489,103.85594444444445,1
O75351,39,0.633,0.0469487179487179,0.633,0.0469487179487179,309.49,101.82505128205123,4
Q14765,68,0.187,0.0157794117647058,0.187,0.0157794117647058,387.156,115.46655882352944,6
Q96HR8,21,0.211,0.0244761904761904,0.211,0.0244761904761904,186.041,90.79157142857144,1
P51790,73,0.993,0.0301780821917808,0.993,0.0301780821917808,559.34,125.6883698630137,5
P09544,26,0.516,0.0341153846153846,0.516,0.0341153846153846,360.924,102.71169230769227,13
P17677,9,0.694,0.0805555555555555,0.694,0.0805555555555555,206.827,129.19033333333334,1
Q9UDW1,4,0.65,0.24425,0.65,0.24425,119.99,90.19375,1
P43627,22,0.967,0.0649999999999999,0.967,0.0649999999999999,251.714,108.85722727272729,
Q9NRH2,47,0.345,0.0100212765957446,0.345,0.0100212765957446,491.71,114.4801489361702,292
P84077,12,0.317,0.0431666666666666,0.317,0.0431666666666666,197.7,99.37183333333331,3
Q04837,10,0.434,0.0478,0.434,0.0478,150.968,93.2457,2
Q8IU57,34,0.462,0.0257941176470588,0.462,0.0257941176470588,288.586,115.33858823529413,
O75717,75,0.892,0.0176666666666666,0.892,0.0176666666666666,543.325,121.95647999999998,2
P28845,21,0.811,0.0816190476190476,0.811,0.0816190476190476,324.243,123.77323809523809,3993
Q16877,27,0.893,0.0645185185185185,0.893,0.0645185185185185,532.641,124.01911111111112,19
Q8WXI9,43,0.132,0.0054883720930232,0.132,0.0054883720930232,504.365,107.4143953488372,2
Q9BVS4,61,0.582,0.0120327868852459,0.582,0.0120327868852459,574.61,126.18631147540984,519
O43298,30,0.588,0.0221,0.588,0.0221,1304.892,155.5280666666667,1
Q86VL8,42,0.825,0.0939523809523809,0.825,0.0939523809523809,289.021,109.17816666666666,271
P15559,15,0.89,0.0672666666666666,0.89,0.0672666666666666,176.595,95.32366666666664,1002
Q14964,12,0.889,0.0819166666666666,0.889,0.0819166666666666,201.976,113.27608333333332,1
Q71U36,30,0.462,0.0276,0.462,0.0276,169.644,97.5181,3
P30519,18,0.89,0.0871111111111111,0.89,0.0871111111111111,674.754,130.30144444444443,272
P08133,50,0.532,0.0284599999999999,0.532,0.0284599999999999,822.66,114.55826000000005,3
Q15233,47,0.5,0.015063829787234,0.5,0.015063829787234,269.41,93.07563829787232,3
O94973,74,0.437,0.0229324324324324,0.437,0.0229324324324324,633.628,102.00602702702705,1
Q96BI1,27,0.778,0.0365185185185185,0.778,0.0365185185185185,589.415,125.98685185185188,1
Q00796,18,0.574,0.0375,0.574,0.0375,203.313,95.08133333333332,119
Q9UBX1,41,0.976,0.0283170731707317,0.976,0.0283170731707317,552.445,123.20246341463417,73
O75955,32,0.76,0.0696249999999999,0.76,0.0696249999999999,220.79,104.14275,1
Q9GZT9,34,0.047,0.002235294117647,0.047,0.002235294117647,1127.739,141.5878235294118,2296
P07451,20,0.344,0.02635,0.344,0.02635,137.489,74.79365,449
P51784,86,0.726,0.0198837209302325,0.726,0.0198837209302325,543.339,133.7412674418605,15
P28329,44,0.988,0.036090909090909,0.988,0.036090909090909,365.652,120.22288636363638,63
Q14240,31,0.918,0.0432903225806451,0.918,0.0432903225806451,351.244,97.33374193548389,10
Q6L8Q7,39,0.585,0.0179743589743589,0.585,0.0179743589743589,470.129,117.55802564102562,4
Q8WXE1,69,0.693,0.0541304347826086,0.693,0.0541304347826086,472.637,118.69876811594202,
P17342,40,0.485,0.018075,0.485,0.018075,204.058,89.07057499999999,115
P34810,11,0.587,0.0886363636363636,0.587,0.0886363636363636,197.65,108.57127272727271,1
Q75QN2,93,0.735,0.0208924731182795,0.735,0.0208924731182795,362.199,107.89588172043015,1
Q6V1X1,72,0.663,0.028861111111111,0.663,0.028861111111111,326.379,103.28165277777777,2109
Q9Y3C6,11,0.116,0.0232727272727272,0.116,0.0232727272727272,113.618,83.10900000000001,3
O43193,32,0.919,0.05309375,0.919,0.05309375,661.68,121.94440625,1543
P37288,41,0.825,0.055560975609756,0.825,0.055560975609756,306.371,108.28378048780488,3941
O95628,28,0.295,0.0314642857142857,0.295,0.0314642857142857,250.841,114.81671428571428,2
Q14457,40,0.362,0.0532999999999999,0.362,0.0532999999999999,214.456,106.32429999999997,19
P24821,171,0.545,0.0122807017543859,0.545,0.0122807017543859,574.73,110.32412865497078,
Q9NS91,29,0.525,0.0248275862068965,0.525,0.0248275862068965,372.124,115.15082758620689,1
Q6NXG1,56,0.102,0.0069821428571428,0.102,0.0069821428571428,364.124,122.10069642857142,1
P04818,22,0.495,0.0414545454545454,0.495,0.0414545454545454,230.339,102.3482272727273,1038
Q8N4V1,8,0.4,0.080625,0.4,0.080625,188.212,111.697875,1
P12272,7,0.295,0.0541428571428571,0.295,0.0541428571428571,89.16,75.50042857142856,
O60610,92,0.399,0.013445652173913,0.399,0.013445652173913,604.704,111.72826086956522,3
Q13772,57,0.893,0.0189649122807017,0.893,0.0189649122807017,649.084,105.69782456140352,
Q15166,20,0.911,0.0497,0.911,0.0497,323.238,113.72620000000002,3
Q13426,21,0.674,0.0372857142857142,0.674,0.0372857142857142,136.799,93.84242857142856,
Q7Z602,22,0.925,0.1775454545454545,0.925,0.1775454545454545,376.071,148.3873181818182,2
P41222,10,0.734,0.0738,0.734,0.0738,317.147,128.44760000000002,4
P14618,33,0.381,0.0332727272727272,0.381,0.0332727272727272,540.271,108.09409090909092,7276
Q7L2E3,104,0.504,0.0143173076923076,0.504,0.0143173076923076,481.221,129.96986538461536,170
Q13509,34,0.431,0.0269705882352941,0.431,0.0269705882352941,256.601,101.86,18
P18433,59,0.888,0.0400677966101694,0.888,0.0400677966101694,297.0,93.38840677966104,223
P30084,19,0.925,0.0918421052631578,0.925,0.0918421052631578,333.105,129.7647894736842,2
O00204,24,0.942,0.0817916666666666,0.942,0.0817916666666666,298.381,110.20408333333332,3
O15303,65,0.655,0.019,0.655,0.019,612.305,107.0876923076923,287
Q9C005,10,0.608,0.0756,0.608,0.0756,186.091,92.6783,
P62140,18,0.177,0.0224444444444444,0.177,0.0224444444444444,341.771,126.12277777777778,5
P62166,19,0.55,0.0523684210526315,0.55,0.0523684210526315,180.373,85.18036842105262,3
O95436,60,0.83,0.0554999999999999,0.83,0.0554999999999999,585.195,127.22088333333332,100
P30989,42,0.437,0.0264047619047618,0.437,0.0264047619047618,612.974,124.10852380952386,1205
Q96GM8,41,0.131,0.013,0.131,0.013,305.572,124.79278048780488,1
O14829,54,0.211,0.0112222222222222,0.211,0.0112222222222222,652.297,108.84414814814816,1
P09471,20,0.763,0.0687499999999999,0.763,0.0687499999999999,264.208,112.47105000000002,37
Q92547,100,0.912,0.0287399999999999,0.912,0.0287399999999999,320.029,107.51142000000002,18
Q8N1S5,21,0.92,0.1072857142857142,0.92,0.1072857142857142,245.002,108.459,1
Q7LBE3,70,0.862,0.0226142857142856,0.862,0.0226142857142856,416.593,118.74474285714288,10
P35475,35,0.761,0.0434571428571428,0.761,0.0434571428571428,369.484,101.25045714285714,15
Q9HC35,53,0.829,0.0459811320754716,0.829,0.0459811320754716,481.237,115.64075471698108,1
P16455,13,0.322,0.0631538461538461,0.322,0.0631538461538461,209.02,104.02515384615384,187
Q9H015,36,0.558,0.0211111111111111,0.558,0.0211111111111111,789.933,139.01291666666668,26
Q96CX2,15,0.803,0.0611333333333333,0.803,0.0611333333333333,212.928,100.27766666666663,65
Q03111,38,0.748,0.0498157894736841,0.748,0.0498157894736841,269.402,105.00444736842104,190
P08581,95,0.357,0.0096842105263157,0.357,0.0096842105263157,1395.765,126.72437894736842,8821
P07305,10,0.131,0.0227,0.131,0.0227,183.896,99.4571,2
Q08945,56,0.852,0.0265714285714285,0.852,0.0265714285714285,410.436,112.98883928571428,3
O43592,75,0.28,0.0141066666666666,0.28,0.0141066666666666,219.496,92.8080266666667,5
P50990,29,0.955,0.0739655172413792,0.955,0.0739655172413792,233.266,110.13289655172412,3
P21728,36,0.961,0.0605277777777777,0.961,0.0605277777777777,416.047,127.79263888888885,5562
P40937,23,0.79,0.0365217391304347,0.79,0.0365217391304347,271.525,91.57139130434784,3
P62877,7,0.614,0.0904285714285714,0.614,0.0904285714285714,180.598,87.57957142857143,2
Q13330,59,0.676,0.0281525423728813,0.676,0.0281525423728813,574.996,124.41425423728816,1
Q9H1R3,34,0.655,0.0585882352941176,0.655,0.0585882352941176,651.277,125.86185294117648,406
Q7L7X3,91,0.913,0.0115604395604395,0.913,0.0115604395604395,722.47,109.86029670329668,1662
P68106,6,0.068,0.012,0.068,0.012,105.708,86.48083333333334,45
O15021,158,0.416,0.0104177215189873,0.416,0.0104177215189873,448.591,124.68957594936715,15
Q9UKV8,77,0.445,0.0111038961038961,0.445,0.0111038961038961,435.85,105.3654935064935,9
P32246,35,0.989,0.1216571428571428,0.989,0.1216571428571428,307.677,119.65194285714286,1177
O75175,50,0.421,0.01538,0.421,0.01538,494.722,109.57295999999997,3
O43395,65,0.37,0.009276923076923,0.37,0.009276923076923,367.24,106.20530769230768,1
Q9HAW7,32,0.994,0.0345624999999999,0.994,0.0345624999999999,487.032,112.97171875,72
Q16825,82,0.463,0.0268658536585365,0.463,0.0268658536585365,549.99,109.62107317073172,1
O43561,9,0.652,0.1482222222222222,0.652,0.1482222222222222,122.738,94.73655555555555,1
P36941,29,0.868,0.0333793103448275,0.868,0.0333793103448275,292.819,108.3316551724138,1
P52799,21,0.951,0.0592380952380952,0.951,0.0592380952380952,288.512,128.6619523809524,
Q9HC29,68,0.911,0.0343529411764705,0.911,0.0343529411764705,1048.255,140.17988235294118,1133
P20908,107,0.164,0.004018691588785,0.164,0.004018691588785,343.303,113.30083177570089,
Q14232,23,0.468,0.0533478260869565,0.468,0.0533478260869565,163.135,92.10882608695653,1
P01570,18,0.327,0.0765555555555555,0.327,0.0765555555555555,125.426,80.62927777777777,
P13693,14,0.572,0.0773571428571428,0.572,0.0773571428571428,130.214,87.97478571428572,1
Q9HBX9,58,0.481,0.0187758620689655,0.481,0.0187758620689655,877.522,134.1599655172414,5364
Q9NPA2,44,0.498,0.0539772727272727,0.498,0.0539772727272727,665.286,142.52493181818178,11
Q9Y5J1,42,0.493,0.0283809523809523,0.493,0.0283809523809523,301.709,103.958,1
O00591,40,0.402,0.0419749999999999,0.402,0.0419749999999999,170.859,90.6346,
Q9NPF5,35,0.774,0.0284857142857142,0.774,0.0284857142857142,157.399,85.62954285714285,1
P57789,63,0.964,0.0425555555555555,0.964,0.0425555555555555,298.293,103.84950793650792,46
Q96NY8,31,0.669,0.052774193548387,0.669,0.052774193548387,168.513,89.13109677419355,56
Q9BVQ7,67,0.636,0.0335970149253731,0.636,0.0335970149253731,1061.716,128.80582089552237,1
O75223,14,0.479,0.0717142857142857,0.479,0.0717142857142857,288.922,105.92228571428574,1
P10619,31,0.968,0.0321612903225806,0.968,0.0321612903225806,345.156,98.23670967741934,906
Q9UKP4,100,0.802,0.0105999999999999,0.802,0.0105999999999999,1097.814,115.67683999999996,50
Q9UIF8,191,0.449,0.0097434554973821,0.449,0.0097434554973821,525.477,127.3461361256544,55869
P56134,7,0.716,0.2302857142857142,0.716,0.2302857142857142,182.109,95.20785714285714,2
Q15648,84,0.907,0.0416309523809523,0.907,0.0416309523809523,498.143,116.08170238095238,2
P07108,7,0.314,0.0659999999999999,0.314,0.0659999999999999,142.982,94.42771428571427,1
P42229,73,0.586,0.0278904109589041,0.586,0.0278904109589041,404.441,113.33089041095894,224
Q9BSJ8,80,0.959,0.0171625,0.959,0.0171625,882.243,124.967075,3
P27482,15,0.605,0.0826666666666666,0.605,0.0826666666666666,207.095,113.78193333333331,5
P07332,68,0.151,0.0077794117647058,0.151,0.0077794117647058,359.913,104.5586323529412,1678
P14866,30,0.342,0.0219,0.342,0.0219,406.359,107.94746666666668,3
Q14376,20,0.861,0.0537999999999999,0.861,0.0537999999999999,347.196,119.50095,7
Q9UJS0,57,0.758,0.0598947368421052,0.758,0.0598947368421052,431.257,114.65536842105264,1
Q9Y6F8,35,0.759,0.0719142857142857,0.759,0.0719142857142857,298.027,121.58694285714289,55
P51451,47,0.308,0.0210425531914893,0.308,0.0210425531914893,300.406,125.09674468085105,1942
P28300,30,0.166,0.0088666666666666,0.166,0.0088666666666666,297.999,107.4174,152
O00155,39,0.296,0.0331538461538461,0.296,0.0331538461538461,164.693,84.33651282051281,2
Q92786,47,0.503,0.0368936170212765,0.503,0.0368936170212765,161.602,89.32376595744678,1
Q9Y5Y3,30,0.926,0.1200999999999999,0.926,0.1200999999999999,445.176,132.10243333333332,2
Q96BY9,23,0.462,0.0386521739130434,0.462,0.0386521739130434,165.156,100.7492608695652,1
O00221,29,0.95,0.0440344827586206,0.95,0.0440344827586206,806.12,135.73393103448274,1
Q15942,37,0.721,0.0234054054054054,0.721,0.0234054054054054,556.038,133.82783783783788,2
Q9HB40,28,0.741,0.0411785714285714,0.741,0.0411785714285714,565.124,107.02442857142856,1
P35626,46,0.476,0.0305869565217391,0.476,0.0305869565217391,416.391,128.2591304347826,280
P49419,26,0.941,0.0593076923076922,0.941,0.0593076923076922,367.322,111.69207692307693,1
Q96CW5,85,0.521,0.0200941176470588,0.521,0.0200941176470588,507.244,115.97363529411764,3
P04844,43,0.368,0.0318372093023255,0.368,0.0318372093023255,191.384,96.43527906976745,3
P53680,8,0.675,0.091125,0.675,0.091125,212.702,98.751375,2
Q12834,35,0.234,0.0121714285714285,0.234,0.0121714285714285,417.235,132.50968571428575,9
P24903,42,0.927,0.0227380952380952,0.927,0.0227380952380952,329.195,96.38069047619048,
Q9BTW9,88,0.692,0.0160454545454545,0.692,0.0160454545454545,340.465,106.27771590909092,2
Q16206,51,0.913,0.0529411764705882,0.913,0.0529411764705882,316.912,100.60809803921568,1
P48444,46,0.589,0.0380434782608695,0.589,0.0380434782608695,358.154,102.30171739130436,2
Q8TDV2,35,0.947,0.0773142857142856,0.947,0.0773142857142856,357.134,129.0719714285714,2
Q9Y3I0,24,0.863,0.0642083333333333,0.863,0.0642083333333333,433.931,111.48608333333334,2
Q07075,61,0.509,0.0184918032786885,0.509,0.0184918032786885,492.844,99.30081967213114,69
Q15743,21,0.51,0.0404285714285714,0.51,0.0404285714285714,536.086,127.73166666666664,94
Q96S37,39,0.955,0.0391025641025641,0.955,0.0391025641025641,369.62,105.49833333333332,1291
