UniProt,PocketCount,MaxScore,MeanScore,MaxDruggability,MeanDruggability,MaxSASA,MeanSASA
O14782,81,0.133,0.005592592592592594,0.133,0.005592592592592594,719.863,133.40041975308648
Q86WV7,16,0.69,0.06999999999999998,0.69,0.06999999999999998,145.867,79.36381250000002
Q9GZS3,10,0.424,0.0973,0.424,0.0973,233.385,118.0694
Q9UMX1,38,0.25,0.009052631578947368,0.25,0.009052631578947368,435.634,117.6933157894737
P30043,14,0.418,0.03321428571428571,0.418,0.03321428571428571,282.738,110.13757142857143
Q08ET2,24,0.344,0.023250000000000003,0.344,0.023250000000000003,160.185,93.56962500000002
Q9UQ88,74,0.884,0.014445945945945919,0.884,0.014445945945945919,384.158,101.61606756756753
Q9NTG7,24,0.719,0.05679166666666666,0.719,0.05679166666666666,361.657,136.94933333333333
Q9UNX4,76,0.967,0.03109210526315786,0.967,0.03109210526315786,541.35,120.51180263157896
Q86SM8,25,0.87,0.06231999999999996,0.87,0.06231999999999996,238.138,99.74264000000002
Q9UI33,202,0.94,0.023797029702970273,0.94,0.023797029702970273,648.601,118.16249504950497
P20273,52,0.549,0.016730769230769233,0.549,0.016730769230769233,213.762,96.58575000000002
Q13112,34,0.665,0.021794117647058825,0.665,0.021794117647058825,558.635,122.98988235294118
Q02962,21,0.054,0.005904761904761905,0.054,0.005904761904761905,425.752,114.68919047619048
Q8WWY3,47,0.437,0.02782978723404255,0.437,0.02782978723404255,268.156,117.61682978723402
P29375,144,0.635,0.00997916666666667,0.635,0.00997916666666667,733.767,125.97741666666664
P49888,21,0.999,0.048476190476190444,0.999,0.048476190476190444,381.567,99.1619523809524
P36542,22,0.801,0.052863636363636335,0.801,0.052863636363636335,200.191,100.83818181818182
Q9Y3F4,23,0.444,0.022217391304347828,0.444,0.022217391304347828,164.83,98.89891304347825
P54840,53,0.157,0.009056603773584906,0.157,0.009056603773584906,494.474,119.34279245283018
Q6P6C2,25,0.18,0.01624,0.18,0.01624,914.583,163.0394
Q9BRH5,37,0.878,0.04635135135135134,0.878,0.04635135135135134,344.91,117.01191891891891
P02794,17,0.322,0.05794117647058823,0.322,0.05794117647058823,135.143,90.7595294117647
Q8TEA8,11,0.21,0.02681818181818182,0.21,0.02681818181818182,213.828,119.23872727272729
Q969Z3,27,0.846,0.03462962962962963,0.846,0.03462962962962963,161.188,94.07485185185185
Q8TDV5,27,0.929,0.0494444444444444,0.929,0.0494444444444444,200.611,103.75881481481483
P61764,52,0.793,0.05994230769230769,0.793,0.05994230769230769,479.427,126.11136538461537
P68363,36,0.824,0.048583333333333326,0.824,0.048583333333333326,233.978,102.43391666666668
Q9UF02,22,0.842,0.04436363636363637,0.842,0.04436363636363637,442.973,109.48463636363634
P80404,35,0.724,0.03377142857142857,0.724,0.03377142857142857,349.672,109.9765142857143
P08237,53,0.53,0.02584905660377358,0.53,0.02584905660377358,614.531,118.83450943396227
P45452,37,0.182,0.012243243243243242,0.182,0.012243243243243242,662.651,110.49716216216216
P41180,87,0.854,0.03531034482758617,0.854,0.03531034482758617,262.159,109.35158620689653
P18825,39,0.918,0.036153846153846134,0.918,0.036153846153846134,303.675,112.24953846153846
P07205,32,0.557,0.027437500000000004,0.557,0.027437500000000004,216.854,94.71396874999999
Q9UGJ1,58,0.856,0.02327586206896548,0.856,0.02327586206896548,332.621,105.35258620689653
Q8TBC4,34,0.843,0.026088235294117648,0.843,0.026088235294117648,797.689,123.48582352941173
P19875,6,0.064,0.016166666666666666,0.064,0.016166666666666666,159.607,103.23049999999999
Q8IYT8,68,0.692,0.039073529411764694,0.692,0.039073529411764694,766.657,141.1693382352941
Q9NSA2,54,0.657,0.02407407407407407,0.657,0.02407407407407407,227.813,103.27259259259257
P23588,50,0.125,0.007460000000000002,0.125,0.007460000000000002,186.192,95.24831999999998
Q9UPY3,172,0.883,0.011709302325581374,0.883,0.011709302325581374,720.553,127.06741860465115
P62829,8,0.194,0.065375,0.194,0.065375,162.062,104.03475
Q9GZX6,21,0.449,0.04971428571428572,0.449,0.04971428571428572,269.843,83.38138095238095
Q16828,22,0.503,0.03513636363636364,0.503,0.03513636363636364,393.951,138.27718181818182
P78368,25,0.854,0.0492,0.854,0.0492,756.486,130.11208
Q9Y694,41,0.982,0.03121951219512195,0.982,0.03121951219512195,809.123,126.86390243902441
A8K2H7,34,0.853,0.10488235294117643,0.853,0.10488235294117643,586.585,136.13967647058823
Q8NFJ6,29,0.982,0.0546551724137931,0.982,0.0546551724137931,588.206,134.24606896551725
P60763,12,0.934,0.08008333333333334,0.934,0.08008333333333334,207.984,109.31141666666667
O15460,44,0.841,0.06063636363636363,0.841,0.06063636363636363,421.021,112.09627272727275
Q16594,15,0.34,0.06933333333333332,0.34,0.06933333333333332,329.635,148.01753333333332
P52655,21,0.764,0.04419047619047619,0.764,0.04419047619047619,566.363,134.33080952380953
Q86W56,65,0.46,0.015584615384615386,0.46,0.015584615384615386,755.93,132.4277076923077
Q99417,5,0.309,0.1558,0.309,0.1558,124.11,100.3144
Q8IZL9,28,0.646,0.02503571428571429,0.646,0.02503571428571429,683.875,131.882
Q12860,75,0.526,0.01142666666666667,0.526,0.01142666666666667,188.061,89.84694666666664
Q969X5,19,0.99,0.11557894736842104,0.99,0.11557894736842104,187.166,94.77147368421055
Q9UNA0,77,0.718,0.017389610389610382,0.718,0.017389610389610382,391.144,122.30024675324678
P14598,37,0.6,0.020675675675675676,0.6,0.020675675675675676,540.559,112.82254054054054
Q8WUM4,61,0.049,0.002704918032786886,0.049,0.002704918032786886,934.506,136.9794262295082
P46776,10,0.458,0.0839,0.458,0.0839,163.21,84.9003
O95168,10,0.71,0.13699999999999996,0.71,0.13699999999999996,256.366,101.7465
Q9BSD7,13,0.534,0.08923076923076921,0.534,0.08923076923076921,270.219,125.55923076923074
P35913,66,0.952,0.05077272727272722,0.952,0.05077272727272722,339.75,109.2519090909091
Q96P11,30,0.599,0.025566666666666668,0.599,0.025566666666666668,200.911,94.95233333333333
Q96KQ7,85,0.765,0.012835294117647042,0.765,0.012835294117647042,608.713,123.37414117647063
P16885,122,0.87,0.02363934426229507,0.87,0.02363934426229507,1092.701,130.93235245901639
Q96P68,25,0.537,0.06675999999999999,0.537,0.06675999999999999,184.946,98.56551999999999
Q8TDS5,22,0.978,0.08409090909090906,0.978,0.08409090909090906,255.065,114.55318181818183
Q9BWH6,126,0.752,0.01888095238095236,0.752,0.01888095238095236,496.61,113.31799206349208
P13385,9,0.476,0.10777777777777778,0.476,0.10777777777777778,100.013,84.13777777777779
Q9NTI5,100,0.853,0.014519999999999976,0.853,0.014519999999999976,475.846,114.30295999999997
O43813,24,0.381,0.02266666666666667,0.381,0.02266666666666667,188.723,88.32720833333333
P35030,14,0.419,0.03,0.419,0.03,162.142,88.29828571428571
Q8WXX5,25,0.429,0.029960000000000004,0.429,0.029960000000000004,170.691,86.35484000000002
P53602,30,0.457,0.020133333333333336,0.457,0.020133333333333336,204.752,94.65236666666667
Q13619,70,0.324,0.009171428571428573,0.324,0.009171428571428573,666.686,108.28459999999997
P38936,10,0.547,0.07150000000000001,0.547,0.07150000000000001,166.834,108.054
Q99571,34,0.581,0.025941176470588235,0.581,0.025941176470588235,275.137,100.60844117647058
P39059,57,0.851,0.02326315789473681,0.851,0.02326315789473681,307.52,106.36007017543858
P51659,44,0.714,0.056704545454545445,0.714,0.056704545454545445,500.201,123.11586363636366
P62508,37,0.662,0.019513513513513516,0.662,0.019513513513513516,470.759,110.69364864864863
Q15878,212,0.951,0.026075471698113188,0.951,0.026075471698113188,674.751,131.29195283018868
Q02928,34,0.998,0.033617647058823474,0.998,0.033617647058823474,479.206,109.50276470588236
P08686,47,0.979,0.04772340425531911,0.979,0.04772340425531911,305.587,113.35246808510634
P52566,14,0.307,0.0445,0.307,0.0445,357.425,141.30785714285713
P21709,80,0.962,0.016537499999999965,0.962,0.016537499999999965,381.129,114.14203750000001
P98187,41,0.998,0.030560975609756093,0.998,0.030560975609756093,545.749,101.95953658536584
O95870,38,0.989,0.03255263157894735,0.989,0.03255263157894735,364.163,127.42739473684213
Q8NE63,49,0.398,0.021081632653061223,0.398,0.021081632653061223,594.242,130.90204081632652
Q06830,16,0.391,0.065875,0.391,0.065875,211.894,92.4308125
O14966,14,0.667,0.051428571428571435,0.667,0.051428571428571435,297.087,103.00671428571427
Q96L73,194,0.312,0.004855670103092785,0.312,0.004855670103092785,923.252,129.77031958762885
Q9BW71,36,0.457,0.018833333333333337,0.457,0.018833333333333337,265.489,103.85594444444445
O75351,39,0.633,0.04694871794871791,0.633,0.04694871794871791,309.49,101.82505128205125
Q14765,68,0.187,0.015779411764705875,0.187,0.015779411764705875,387.156,115.46655882352945
Q96HR8,21,0.211,0.024476190476190478,0.211,0.024476190476190478,186.041,90.79157142857143
P51790,73,0.993,0.030178082191780815,0.993,0.030178082191780815,559.34,125.6883698630137
P09544,26,0.516,0.03411538461538462,0.516,0.03411538461538462,360.924,102.71169230769227
P17677,9,0.694,0.08055555555555555,0.694,0.08055555555555555,206.827,129.19033333333334
Q9UDW1,4,0.65,0.24425,0.65,0.24425,119.99,90.19375000000001
P43627,22,0.967,0.06499999999999997,0.967,0.06499999999999997,251.714,108.85722727272729
Q9NRH2,47,0.345,0.01002127659574468,0.345,0.01002127659574468,491.71,114.4801489361702
P84077,12,0.317,0.043166666666666666,0.317,0.043166666666666666,197.7,99.37183333333333
Q04837,10,0.434,0.0478,0.434,0.0478,150.968,93.2457
Q8IU57,34,0.462,0.025794117647058825,0.462,0.025794117647058825,288.586,115.33858823529411
O75717,75,0.892,0.017666666666666667,0.892,0.017666666666666667,543.325,121.95647999999998
P28845,21,0.811,0.08161904761904763,0.811,0.08161904761904763,324.243,123.77323809523809
Q16877,27,0.893,0.0645185185185185,0.893,0.0645185185185185,532.641,124.01911111111113
Q8WXI9,43,0.132,0.005488372093023257,0.132,0.005488372093023257,504.365,107.4143953488372
Q9BVS4,61,0.582,0.012032786885245901,0.582,0.012032786885245901,574.61,126.18631147540984
O43298,30,0.588,0.0221,0.588,0.0221,1304.892,155.5280666666667
Q86VL8,42,0.825,0.09395238095238094,0.825,0.09395238095238094,289.021,109.17816666666666
P15559,15,0.89,0.06726666666666666,0.89,0.06726666666666666,176.595,95.32366666666665
Q14964,12,0.889,0.08191666666666668,0.889,0.08191666666666668,201.976,113.27608333333332
Q71U36,30,0.462,0.0276,0.462,0.0276,169.644,97.5181
P30519,18,0.89,0.08711111111111111,0.89,0.08711111111111111,674.754,130.30144444444443
P08133,50,0.532,0.028459999999999996,0.532,0.028459999999999996,822.66,114.55826000000003
Q15233,47,0.5,0.015063829787234046,0.5,0.015063829787234046,269.41,93.07563829787233
O94973,74,0.437,0.02293243243243242,0.437,0.02293243243243242,633.628,102.00602702702703
Q96BI1,27,0.778,0.03651851851851852,0.778,0.03651851851851852,589.415,125.98685185185187
Q00796,18,0.574,0.037500000000000006,0.574,0.037500000000000006,203.313,95.08133333333333
Q9UBX1,41,0.976,0.0283170731707317,0.976,0.0283170731707317,552.445,123.20246341463415
O75955,32,0.76,0.06962499999999998,0.76,0.06962499999999998,220.79,104.14275
Q9GZT9,34,0.047,0.0022352941176470593,0.047,0.0022352941176470593,1127.739,141.5878235294118
P07451,20,0.344,0.026350000000000002,0.344,0.026350000000000002,137.489,74.79365
P51784,86,0.726,0.019883720930232544,0.726,0.019883720930232544,543.339,133.7412674418605
P28329,44,0.988,0.036090909090909055,0.988,0.036090909090909055,365.652,120.22288636363638
Q14240,31,0.918,0.043290322580645135,0.918,0.043290322580645135,351.244,97.33374193548387
Q6L8Q7,39,0.585,0.017974358974358975,0.585,0.017974358974358975,470.129,117.55802564102562
Q8WXE1,69,0.693,0.05413043478260866,0.693,0.05413043478260866,472.637,118.69876811594202
P17342,40,0.485,0.018075000000000004,0.485,0.018075000000000004,204.058,89.07057499999999
P34810,11,0.587,0.08863636363636364,0.587,0.08863636363636364,197.65,108.57127272727271
Q75QN2,93,0.735,0.020892473118279555,0.735,0.020892473118279555,362.199,107.89588172043015
Q6V1X1,72,0.663,0.028861111111111084,0.663,0.028861111111111084,326.379,103.28165277777777
Q9Y3C6,11,0.116,0.023272727272727275,0.116,0.023272727272727275,113.618,83.10900000000001
O43193,32,0.919,0.05309375,0.919,0.05309375,661.68,121.94440625
P37288,41,0.825,0.055560975609756064,0.825,0.055560975609756064,306.371,108.28378048780489
O95628,28,0.295,0.031464285714285715,0.295,0.031464285714285715,250.841,114.81671428571427
Q14457,40,0.362,0.05329999999999997,0.362,0.05329999999999997,214.456,106.32429999999997
P24821,171,0.545,0.01228070175438596,0.545,0.01228070175438596,574.73,110.32412865497078
Q9NS91,29,0.525,0.024827586206896554,0.525,0.024827586206896554,372.124,115.15082758620689
Q6NXG1,56,0.102,0.006982142857142859,0.102,0.006982142857142859,364.124,122.10069642857142
P04818,22,0.495,0.04145454545454545,0.495,0.04145454545454545,230.339,102.3482272727273
Q8N4V1,8,0.4,0.080625,0.4,0.080625,188.212,111.69787500000001
P12272,7,0.295,0.054142857142857145,0.295,0.054142857142857145,89.16,75.50042857142856
O60610,92,0.399,0.013445652173913044,0.399,0.013445652173913044,604.704,111.72826086956522
Q13772,57,0.893,0.018964912280701754,0.893,0.018964912280701754,649.084,105.69782456140351
Q15166,20,0.911,0.04970000000000001,0.911,0.04970000000000001,323.238,113.72620000000002
Q13426,21,0.674,0.03728571428571429,0.674,0.03728571428571429,136.799,93.84242857142857
Q7Z602,22,0.925,0.1775454545454545,0.925,0.1775454545454545,376.071,148.3873181818182
P41222,10,0.734,0.0738,0.734,0.0738,317.147,128.44760000000002
P14618,33,0.381,0.033272727272727266,0.381,0.033272727272727266,540.271,108.09409090909091
Q7L2E3,104,0.504,0.014317307692307688,0.504,0.014317307692307688,481.221,129.96986538461536
Q13509,34,0.431,0.026970588235294118,0.431,0.026970588235294118,256.601,101.85999999999999
P18433,59,0.888,0.040067796610169445,0.888,0.040067796610169445,297.0,93.38840677966103
P30084,19,0.925,0.09184210526315789,0.925,0.09184210526315789,333.105,129.7647894736842
O00204,24,0.942,0.08179166666666667,0.942,0.08179166666666667,298.381,110.20408333333332
O15303,65,0.655,0.019000000000000003,0.655,0.019000000000000003,612.305,107.0876923076923
Q9C005,10,0.608,0.0756,0.608,0.0756,186.091,92.67830000000001
P62140,18,0.177,0.022444444444444447,0.177,0.022444444444444447,341.771,126.12277777777778
P62166,19,0.55,0.05236842105263158,0.55,0.05236842105263158,180.373,85.18036842105262
O95436,60,0.83,0.05549999999999999,0.83,0.05549999999999999,585.195,127.22088333333333
P30989,42,0.437,0.02640476190476188,0.437,0.02640476190476188,612.974,124.10852380952386
Q96GM8,41,0.131,0.013000000000000001,0.131,0.013000000000000001,305.572,124.79278048780488
O14829,54,0.211,0.011222222222222222,0.211,0.011222222222222222,652.297,108.84414814814815
P09471,20,0.763,0.06874999999999996,0.763,0.06874999999999996,264.208,112.47105000000002
Q92547,100,0.912,0.028739999999999967,0.912,0.028739999999999967,320.029,107.51142000000002
Q8N1S5,21,0.92,0.10728571428571425,0.92,0.10728571428571425,245.002,108.459
Q7LBE3,70,0.862,0.022614285714285687,0.862,0.022614285714285687,416.593,118.74474285714288
P35475,35,0.761,0.04345714285714284,0.761,0.04345714285714284,369.484,101.25045714285714
Q9HC35,53,0.829,0.04598113207547167,0.829,0.04598113207547167,481.237,115.64075471698109
P16455,13,0.322,0.06315384615384616,0.322,0.06315384615384616,209.02,104.02515384615384
Q9H015,36,0.558,0.021111111111111115,0.558,0.021111111111111115,789.933,139.01291666666668
Q96CX2,15,0.803,0.06113333333333334,0.803,0.06113333333333334,212.928,100.27766666666665
Q03111,38,0.748,0.04981578947368418,0.748,0.04981578947368418,269.402,105.00444736842104
P08581,95,0.357,0.00968421052631579,0.357,0.00968421052631579,1395.765,126.72437894736842
P07305,10,0.131,0.022700000000000005,0.131,0.022700000000000005,183.896,99.4571
Q08945,56,0.852,0.02657142857142857,0.852,0.02657142857142857,410.436,112.98883928571429
O43592,75,0.28,0.014106666666666658,0.28,0.014106666666666658,219.496,92.8080266666667
P50990,29,0.955,0.07396551724137929,0.955,0.07396551724137929,233.266,110.13289655172413
P21728,36,0.961,0.060527777777777736,0.961,0.060527777777777736,416.047,127.79263888888883
P40937,23,0.79,0.036521739130434785,0.79,0.036521739130434785,271.525,91.57139130434784
P62877,7,0.614,0.09042857142857143,0.614,0.09042857142857143,180.598,87.57957142857143
Q13330,59,0.676,0.028152542372881357,0.676,0.028152542372881357,574.996,124.41425423728815
Q9H1R3,34,0.655,0.05858823529411765,0.655,0.05858823529411765,651.277,125.86185294117647
Q7L7X3,91,0.913,0.011560439560439562,0.913,0.011560439560439562,722.47,109.86029670329668
P68106,6,0.068,0.012000000000000002,0.068,0.012000000000000002,105.708,86.48083333333334
O15021,158,0.416,0.010417721518987328,0.416,0.010417721518987328,448.591,124.68957594936717
Q9UKV8,77,0.445,0.011103896103896106,0.445,0.011103896103896106,435.85,105.3654935064935
P32246,35,0.989,0.12165714285714285,0.989,0.12165714285714285,307.677,119.65194285714286
O75175,50,0.421,0.01538,0.421,0.01538,494.722,109.57295999999997
O43395,65,0.37,0.009276923076923077,0.37,0.009276923076923077,367.24,106.20530769230768
Q9HAW7,32,0.994,0.03456249999999997,0.994,0.03456249999999997,487.032,112.97171875000001
Q16825,82,0.463,0.026865853658536568,0.463,0.026865853658536568,549.99,109.62107317073173
O43561,9,0.652,0.1482222222222222,0.652,0.1482222222222222,122.738,94.73655555555555
P36941,29,0.868,0.033379310344827585,0.868,0.033379310344827585,292.819,108.3316551724138
P52799,21,0.951,0.05923809523809523,0.951,0.05923809523809523,288.512,128.66195238095239
Q9HC29,68,0.911,0.034352941176470586,0.911,0.034352941176470586,1048.255,140.17988235294118
P20908,107,0.164,0.004018691588785048,0.164,0.004018691588785048,343.303,113.30083177570089
Q14232,23,0.468,0.0533478260869565,0.468,0.0533478260869565,163.135,92.10882608695651
P01570,18,0.327,0.07655555555555554,0.327,0.07655555555555554,125.426,80.62927777777777
P13693,14,0.572,0.07735714285714286,0.572,0.07735714285714286,130.214,87.97478571428572
Q9HBX9,58,0.481,0.018775862068965518,0.481,0.018775862068965518,877.522,134.1599655172414
Q9NPA2,44,0.498,0.05397727272727273,0.498,0.05397727272727273,665.286,142.52493181818178
Q9Y5J1,42,0.493,0.028380952380952385,0.493,0.028380952380952385,301.709,103.958
O00591,40,0.402,0.04197499999999999,0.402,0.04197499999999999,170.859,90.6346
Q9NPF5,35,0.774,0.02848571428571429,0.774,0.02848571428571429,157.399,85.62954285714285
P57789,63,0.964,0.042555555555555534,0.964,0.042555555555555534,298.293,103.84950793650793
Q96NY8,31,0.669,0.052774193548387076,0.669,0.052774193548387076,168.513,89.13109677419355
Q9BVQ7,67,0.636,0.03359701492537312,0.636,0.03359701492537312,1061.716,128.80582089552237
O75223,14,0.479,0.0717142857142857,0.479,0.0717142857142857,288.922,105.92228571428574
P10619,31,0.968,0.032161290322580645,0.968,0.032161290322580645,345.156,98.23670967741934
Q9UKP4,100,0.802,0.010599999999999997,0.802,0.010599999999999997,1097.814,115.67683999999996
Q9UIF8,191,0.449,0.009743455497382175,0.449,0.009743455497382175,525.477,127.34613612565441
P56134,7,0.716,0.23028571428571426,0.716,0.23028571428571426,182.109,95.20785714285714
Q15648,84,0.907,0.04163095238095237,0.907,0.04163095238095237,498.143,116.08170238095238
P07108,7,0.314,0.06599999999999999,0.314,0.06599999999999999,142.982,94.42771428571429
P42229,73,0.586,0.0278904109589041,0.586,0.0278904109589041,404.441,113.33089041095894
Q9BSJ8,80,0.959,0.0171625,0.959,0.0171625,882.243,124.967075
P27482,15,0.605,0.08266666666666667,0.605,0.08266666666666667,207.095,113.78193333333333
P07332,68,0.151,0.0077794117647058845,0.151,0.0077794117647058845,359.913,104.55863235294119
P14866,30,0.342,0.0219,0.342,0.0219,406.359,107.94746666666667
Q14376,20,0.861,0.05379999999999998,0.861,0.05379999999999998,347.196,119.50094999999999
Q9UJS0,57,0.758,0.05989473684210523,0.758,0.05989473684210523,431.257,114.65536842105264
Q9Y6F8,35,0.759,0.0719142857142857,0.759,0.0719142857142857,298.027,121.58694285714287
P51451,47,0.308,0.021042553191489365,0.308,0.021042553191489365,300.406,125.09674468085103
P28300,30,0.166,0.008866666666666667,0.166,0.008866666666666667,297.999,107.4174
O00155,39,0.296,0.03315384615384614,0.296,0.03315384615384614,164.693,84.33651282051281
Q92786,47,0.503,0.03689361702127658,0.503,0.03689361702127658,161.602,89.32376595744678
Q9Y5Y3,30,0.926,0.12009999999999997,0.926,0.12009999999999997,445.176,132.10243333333332
Q96BY9,23,0.462,0.03865217391304348,0.462,0.03865217391304348,165.156,100.7492608695652
O00221,29,0.95,0.04403448275862069,0.95,0.04403448275862069,806.12,135.73393103448274
Q15942,37,0.721,0.023405405405405404,0.721,0.023405405405405404,556.038,133.82783783783788
Q9HB40,28,0.741,0.04117857142857141,0.741,0.04117857142857141,565.124,107.02442857142857
P35626,46,0.476,0.030586956521739123,0.476,0.030586956521739123,416.391,128.2591304347826
P49419,26,0.941,0.05930769230769229,0.941,0.05930769230769229,367.322,111.69207692307693
Q96CW5,85,0.521,0.020094117647058807,0.521,0.020094117647058807,507.244,115.97363529411764
P04844,43,0.368,0.03183720930232556,0.368,0.03183720930232556,191.384,96.43527906976743
P53680,8,0.675,0.09112500000000001,0.675,0.09112500000000001,212.702,98.75137500000001
Q12834,35,0.234,0.012171428571428573,0.234,0.012171428571428573,417.235,132.50968571428575
P24903,42,0.927,0.02273809523809524,0.927,0.02273809523809524,329.195,96.38069047619047
Q9BTW9,88,0.692,0.016045454545454526,0.692,0.016045454545454526,340.465,106.27771590909093
Q16206,51,0.913,0.052941176470588214,0.913,0.052941176470588214,316.912,100.60809803921569
P48444,46,0.589,0.03804347826086954,0.589,0.03804347826086954,358.154,102.30171739130435
Q8TDV2,35,0.947,0.07731428571428567,0.947,0.07731428571428567,357.134,129.0719714285714
Q9Y3I0,24,0.863,0.06420833333333333,0.863,0.06420833333333333,433.931,111.48608333333334
Q07075,61,0.509,0.018491803278688525,0.509,0.018491803278688525,492.844,99.30081967213114
Q15743,21,0.51,0.040428571428571425,0.51,0.040428571428571425,536.086,127.73166666666665
Q96S37,39,0.955,0.0391025641025641,0.955,0.0391025641025641,369.62,105.49833333333332
P54764,73,0.334,0.02090410958904108,0.334,0.02090410958904108,407.428,123.80435616438359
Q9UNP9,24,0.391,0.045916666666666654,0.391,0.045916666666666654,290.739,109.13537500000001
Q13263,61,0.479,0.03418032786885243,0.479,0.03418032786885243,259.836,109.60647540983601
Q9BVI4,43,0.512,0.036209302325581366,0.512,0.036209302325581366,160.876,95.01711627906977
Q13247,25,0.125,0.022480000000000003,0.125,0.022480000000000003,180.094,98.68983999999999
Q9H4A3,131,0.928,0.010656488549618284,0.928,0.010656488549618284,517.621,115.54634351145037
P36544,37,0.757,0.053027027027026996,0.757,0.053027027027026996,233.788,102.80799999999998
Q9UMX0,58,0.808,0.036189655172413765,0.808,0.036189655172413765,235.631,103.27839655172414
